parents	labels	shortname	shortname_rus	name_rus	history_from	history_till	trace_color	wiki_page
exchange_bond	RU000A100EW0	Bank Otkritie FC BO-IO01	ОткрФКБИО1	ПАО ОТКРЫТИЕ ФК Банк БО-ИО01	2019-06-06			
exchange_bond	RU000A100EX8	Gazprom capital LLC BO-001P-01	ГазпромКP1	Газпром капитал ООО БО-001Р-01	2019-06-06			
exchange_bond	RU000A100F46	VEB.RF PBO-001P-K156	ВЭБ1P-К156	ВЭБ.РФ ПБО-001Р-К156	2019-06-13			
exchange_bond	RU000A100F53	VEB.RF PBO-001P-K157	ВЭБ1P-К157	ВЭБ.РФ ПБО-001Р-К157	2019-06-19			
exchange_bond	RU000A100F61	VEB.RF PBO-001P-K158	ВЭБ1P-К158	ВЭБ.РФ ПБО-001Р-К158	2019-06-20			
exchange_bond	RU000A100F79	VEB.RF PBO-001P-K159	ВЭБ1P-К159	ВЭБ.РФ ПБО-001Р-К159	2019-06-21			
exchange_bond	RU000A100F87	VEB.RF PBO-001P-K160	ВЭБ1P-К160	ВЭБ.РФ ПБО-001Р-К160	2019-06-26			
exchange_bond	RU000A100F95	RESO-LEASING BO-P-04	РЕСОЛизБП4	РЕСО-Лизинг ООО БО-П-04	2019-06-11			
exchange_bond	RU000A100FC9	SberIOS 001P-97R 2Y ARN 5.60%	СберИОС97	СберИОС 001Р-97R 2Y ARN 5.60%	2019-06-10			
exchange_bond	RU000A100FE5	STLC BO 001P-14	ГТЛК 1P-14	ГТЛК БО 001P-14	2019-06-13			
exchange_bond	RU000A100FF2	CREDIT BANK OF MOSCOW P01	МКБ П01	МОСКОВСКИЙ КРЕДИТНЫЙ БАНК П01	2019-06-11			
exchange_bond	RU000A100FG0	SberIOS 001P-100R 3.5Y PP 105%	СберИОС100	СберИОС 001Р-100R 3.5Y PP 105%	2019-06-11			
exchange_bond	RU000A100FH8	SberIOS 001P-90R 3.5Y O.G.105	СберИОС90	СберИОС 001Р-90R 3.5Y O.G.105	2019-06-11			
exchange_bond	RU000A100FR7	KAMAZ PTC BO-P03	КАМАЗ БОП3	КАМАЗ ПАО БО-П03	2019-06-14			
exchange_bond	RU000A100FW7	Bank VTB B-1-25	ВТБ Б-1-25	Банк ВТБ (ПАО) Б-1-25	2019-06-17			
exchange_bond	RU000A100FY3	Cruise BO-P03	Круиз БОП3	Круиз ООО БО-П03	2019-06-19			
exchange_bond	RU000A100FZ0	KISTOCHKI Finance LLC BO-P01	КИСТФ БОП1	КИСТОЧКИ Финанс ООО БО-П01	2019-06-18			
exchange_bond	RU000A100G03	BurovayaKomp Evrazia BO001P-3	БКЕ БО 1P3	БуроваяКомп Евразия БО-001P-3	2019-06-18			
