parents	labels	shortname	shortname_rus	name_rus	history_from	history_till
Financials	GAZT	GAZ-Tek PAO ao	ГАЗ-Тек ао	ГАЗ-Тек ПАО ао	2014-06-09	
Financials	GTLC	GTL PJSC	ПАО ДжиТиЭл	ПАО ДжиТиЭл ао	2014-06-09	2016-03-18
Financials	HMBO	Khanty-M bank Otkritie ao	ХМБОткр ао	ПАО Ханты-М банк Открытие ао	2015-04-01	2016-08-19
Financials	KUZB	Bank Kuzneckiy	КузнецкийБ	Банк Кузнецкий ПАО ао	2014-06-09	
Financials	MMBM	BM-Bank	БМ-Банк	БМ-Банк акции об.	2014-06-09	2016-08-30
Financials	MNFD	MN-fond	МН-фонд ао	МН-фонд ПАО ао	2014-06-09	2019-03-18
Financials	MOEX	MoscowExchange	МосБиржа	ПАО Московская Биржа	2013-04-04	
Financials	MOBB	Moskovskii oblastnoi bank PAO	МосОблБанк	Московский областной банк ПАО	2014-06-09	2021-09-14
Financials	NBTR	NB TRAST	ТРАСТ ао	НБ ТРАСТ ОАО ао	2014-06-09	2015-03-20
Financials	NMOS	OTKRITIE FK Bank	ОткрФКБ ао	ОАО ОТКРЫТИЕ ФК Банк ао	2013-09-02	2014-11-28
Financials	OFCB	PJSC Bank Otkritie Financial Corporation	Банк Открытие	Банк Финансовая Корпорация Открытие	2014-12-01	2017-12-01
Financials	OPIN	PJSC INGRAD	ИНГРАД	ПАО ИНГРАД	2014-06-09	2020-03-27
